zone,state,lga,ea,hhid,indiv,NEWMEMBER,s1q4,s1q2,s1q3,s1q3_os,s1q6,s1q8,s1q9,s1q10,s1q11,s1q12,s1q13,s1q14,s1q15,s1q15a,s1q16,s1q17,s1q18,s1q19_1,s1q19_2,s1q19_3,s1q19_4,s1q19a,s1q19b,s1q19c,s1q19d,s1q20,s1q21,s1q22a,s1q22b,s1q23,s1q23_os,s1q24,s1q25,s1q26,s1q27,s1q28,s1q29,s1q29b,s1q30,s1q31,s1q32,s1q33,s1q34,s1q34_os,s1q34b,s1q35,s1q36,s1q36_os,s1q37,s1q38,s1q39,s1q39_os,s1q39a,s1q39b,s1q39c,s1q39d,s1q39e,s1q39f,s1q39g,s1q39h,s1q39i__1,s1q39i__2,s1q39i__3,s1q39i__4,s1q39i__5,s1q39i__6,s1q39i__7,s1q39i__8,s1q39i__9,s1q39i__10,s1q39i__11,s1q39i__12,s1q39i__13,s1q39i__14,s1q39i__96,s1q39i_os,s1q39j,s1q39k__1,s1q39k__2,s1q39k__3,s1q39k__4,s1q39k__5,s1q39k__6,s1q39k__7,s1q39k__8,s1q39k__9,s1q39k__10,s1q39k__11,s1q39k__12,s1q39k__13,s1q39k__14,s1q39k__96,s1q39k_os,s1q40a,s1q40b,s1q40c,s1q40d,s1q41,s1q42a,s1q44,months_left,s1q45,s1q45_os
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,8,0,1. YES,1. MALE,3. OWN CHILD,,22,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2001,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,9,0,1. YES,2. FEMALE,3. OWN CHILD,,12,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2011,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10002,1301,0,1. YES,2. FEMALE,3. OWN CHILD,,10,1. YES,"3. NO, COULD NOT  LOCATE  CERTIFICATE",,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10004,1,0,1. YES,1. MALE,1. HEAD,,76,2. NO,,,1947,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),35,1. YES,2,,,,1967,,,,2. NO,,,,,,,2. NO,,2. NO,13. P3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,99. DON'T KNOW,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,60,1. ABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10004,2,0,1. YES,2. FEMALE,2. SPOUSE,,63,2. NO,,,1960,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,13. P3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,13. P3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,50,1. ABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10004,3,0,1. YES,1. MALE,4. STEP CHILD,,24,2. NO,,,1999,1. YES,,2. NO,3,1. YES,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,2. NO,,1. YES,26. SS3,7. TRANSPORTATION &amp; STORAGE,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,1,0,1. YES,1. MALE,1. HEAD,,56,2. NO,,,1967,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),34,1. YES,2,,,,2020,,,,2. NO,,,,,,,2. NO,,2. NO,34. NCE,11. EDUCATION,,2. NO,,1. YES,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,2,0,1. YES,2. FEMALE,2. SPOUSE,,52,2. NO,,,1971,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,2. NO,0. NONE,"1. AGRICULTURE, FORESTRY &amp; FISHING",,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,3,0,1. YES,1. MALE,3. OWN CHILD,,21,1. YES,"2. NO, REFUSED",,2002,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,4,0,1. YES,2. FEMALE,3. OWN CHILD,,19,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2004,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,5,0,1. YES,2. FEMALE,3. OWN CHILD,,17,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2006,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10005,7,0,1. YES,1. MALE,3. OWN CHILD,,10,1. YES,"4. NO, CERTIFICATE  IS NOT IN THIS  DWELLING",,2013,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,1,0,1. YES,1. MALE,1. HEAD,,68,2. NO,,,1955,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),37,1. YES,2,,,,1993,,,,2. NO,,,,,,,2. NO,,2. NO,26. SS3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,1. YES,26. SS3,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,2,0,1. YES,2. FEMALE,2. SPOUSE,,54,2. NO,,,1968,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),,1. YES,1,,,,,,,,,,,,,,,2. NO,,2. NO,16. P6,"1. AGRICULTURE, FORESTRY &amp; FISHING",,2. NO,,1. YES,16. P6,"1. AGRICULTURE, FORESTRY &amp; FISHING",,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,6,0,1. YES,1. MALE,3. OWN CHILD,,23,2. NO,,,1999,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,7,0,1. YES,2. FEMALE,3. OWN CHILD,,22,2. NO,,,2000,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,8,0,1. YES,1. MALE,3. OWN CHILD,,12,2. NO,,,2010,2. NO,1. YES,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,1302,0,1. YES,1. MALE,8. NIECE/NEPHEW,,28,2. NO,,,1994,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,7. NEVER MARRIED,,,,,,,,,,,,,,,,,,1. YES,1,,,,,1. YES,2,,,,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,670,10008,1303,0,1. YES,2. FEMALE,8. NIECE/NEPHEW,,11,2. NO,,,2012,2. NO,2. NO,2. NO,0. ZERO / LESS THAN A MONTH,,,,,,,,,,,,,,,,,,,,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,1. ELSEWHERE WITHIN THE SAME STATE,2. NO,,1. YES,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,1. ELSEWHERE WITHIN THE SAME STATE,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,0,10009,1,0,1. YES,1. MALE,1. HEAD,,49,2. NO,,,1974,1. YES,,2. NO,0. ZERO / LESS THAN A MONTH,,1. MARRIED (MONOGAMOUS),32,1. YES,2,,,,2007,,,,2. NO,,,,,,,2. NO,,2. NO,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,2. NO,,2. NO,26. SS3,8. WHOLESALE &amp; RETAIL TRADE,,,1. YES,,,999. SINCE BIRTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
