zone,state,lga,sector,ea,hhid,indiv,FILTER,s1dq1,s1dq3a,s1dq3b,s1dq3c_1,s1dq3c_2,s1dq3c_os,s1dq4,s1dq4_os,s1dq4a,s1dq4a_os,s1dq4b_1,s1dq4b_2,s1dq4b_os,s1dq5,s1dq5_os,s1dq6,s1dq7,s1dq7a__1,s1dq7a__2,s1dq7a__3,s1dq7a__4,s1dq7a__96,s1dq7a_os,s1dq7b,s1dq7b_os,s1dq8a,s1dq8b,s1dq8c,s1dq8c_os,s1dq8d__1,s1dq8d__2,s1dq8d__3,s1dq8d__4,s1dq8d__5,s1dq8d__6,s1dq8d__7,s1dq8d__8,s1dq8d__9,s1dq8d__10,s1dq8d__11,s1dq8d__12,s1dq8d__13,s1dq8d__14,s1dq8d__15,s1dq8d__16,s1dq8d__17,s1dq8d__18,s1dq8d__19,s1dq8d__96,s1dq8d_os
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,9,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,8,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,9,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,6,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to a town/city - another State,,,,EASIER TO GET VISA/WORK PERMITS/DOCUMENTATION,,,9. LACK OF CONNECTIONS OR ACQUAINTANCES,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,1302,1. YES,1. YES,1. YES,2. TEMPORARILY,7. START A NEW FAMILY,,,No preference ,,,,,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,1303,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,4,1. YES,1. YES,1. YES,2. TEMPORARILY,1. FIND BETTER JOBS,,,Moving to a town/city - same State,,,,EASIER TO FIND A JOB,,,9. LACK OF CONNECTIONS OR ACQUAINTANCES,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,1601,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,1801,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,2101,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10033,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10033,1601,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,9,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,1901,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10035,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10035,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,1401,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10037,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10038,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10038,4,1. YES,1. YES,1. YES,1. PERMANENTLY,7. START A NEW FAMILY,,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1015. OSHIMILI SOUTH,1. URBAN,0,10040,1,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to another country,,1. UNITED KINGDOM,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,2,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,4,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,1,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,2,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,3,1. YES,1. YES,1. YES,1. PERMANENTLY,6. GO TO STUDY,1. FIND BETTER JOBS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,4,1. YES,1. YES,1. YES,1. PERMANENTLY,6. GO TO STUDY,1. FIND BETTER JOBS,,Moving to another country,,5. UNITED STATES OF AMERICA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,5,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10053,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10053,5102,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10053,5103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10053,5104,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,102,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,103,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,901,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,1101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,1301,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,1501,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,2001,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,5,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1401,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1601,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10056,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10056,101,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to capital city,,,,EASIER TO FIND A JOB,,,2. DON'T KNOW HOW TO DO IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10056,201,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10056,301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,6,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,201,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,701,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10058,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10058,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10058,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10059,3,1. YES,1. YES,1. YES,1. PERMANENTLY,1. FIND BETTER JOBS,2. START UP A NEW BUSINESS,,Moving to another country,,6. CANADA,,EASIER TO FIND A JOB,,,1. LACK OF MONEY TO AFFORD IT,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10059,5101,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10060,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10060,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10060,1401,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10060,1801,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,4,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,5,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,6,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,7,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,13,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,1401,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,1501,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,1801,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10064,1,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,
