feature,imp_mean,imp_std
s1q6,0.06275190437609243,0.0036550441461111268
zona_West,0.022837858780924626,0.0018931724908816086
remesas_interior,0.02106867720653577,0.0038952589931325675
zona_South,0.019914163300617727,0.0010952980931194986
n_shocks,0.017785087504193255,0.002833236621811489
s9q1b,0.011845425279599475,0.0012725425392636034
s1q8,0.010346103066815493,0.0012061824214721027
s1q25,0.010088122146868939,0.0020151211729442777
s9q2a,0.009892917466900242,0.0016922570289101403
s9q1e,0.008444620566673222,0.0018788299015533698
s9q1h,0.008104108508730768,0.0010406374104851813
s1q2,0.007980145052349508,0.0012009368888336374
s9q4,0.007558514321810627,0.0012538431400656307
zona_East,0.00750778327287851,0.001630632584937126
shock_increase_in_price_of_farm,0.007454776585247147,0.0009433367712666168
s9q1j,0.006456928633223891,0.0008726037320671907
s9q1d,0.005515118284168374,0.0008368477249765253
s9q1i,0.004930436079074507,0.0009044654976699313
shock_droughts,0.004922814651189711,0.0006267885096360324
shock_theft_looting_of_cash_and,0.0048885623652517585,0.0010592065139956636
shock_shortage_scarcity_of_petr,0.004744794966914911,0.0012245557452265528
s9q1g,0.00451095347299737,0.0010100628740948355
edu_nivel,0.004312551128304809,0.0011194190715714833
shock_very_high_temperatures_(&,0.004276356702442541,0.0010847461174017133
shock_increase_in_price_of_majo,0.004182702399425598,0.0006051885947081359
s9q1f,0.003237988649271084,0.000634448939066155
shock_increase_in_price_of_oil_,0.0029897478553086,0.0008486726001330438
s9q1a,0.002680810284317492,0.0014408501716780952
shock_increase_in_prices_of_oth,0.0025022020727929694,0.0013127278427659823
s9q1c,0.0015763408122067668,0.0003846706830034985
shock_death_of_a_household_memb,0.0014459722175902412,0.00034620887754811537
remesas_exterior,0.0013545543181224917,0.0004806524488191186
shock_death_of_livestock_due_to,0.0013044608403776636,0.00012288651953567856
shock_floods,0.001291513240882214,0.0003702497004634458
shock_diseases_or_injury_of_hou,0.0007830256970614458,0.00033364819112672174
shock_irregular_rains_(includin,0.0007301269060926207,0.0002343327265341448
shock_fire,0.0005837601790691816,0.0004247250568303742
shock_fall_in_the_price_of_farm,0.0005729999391854923,0.0004589215405523768
shock_pests_and_plant_diseases,0.0004882912503653358,0.0002749981259304411
shock_loss_of_an_important_cont,0.0004877811934155485,0.00016919128875561554
shock_post_harvest_loss,0.0003967458366601395,0.0002556159437421111
"shock_nonfarm_business_closure,",0.00038155202482798023,0.0005721184280747457
shock_departure_of_a_household_,0.00029417534580877813,0.0003998590341466977
shock_loss_of_a_regular_job_of_,0.00010746507581209652,9.787214062299659e-05
shock_dwelling_farm_buildings_b,9.957881066486873e-05,0.00014712140037878224
shock_kidnapping_abduction_for_,9.576319232875718e-05,0.00030591961215099947
shock_stopped_receiving_remitta,1.9421399243158e-05,5.4162966388959715e-05
shock_hijacking_robbery_assault,1.1829397720808376e-05,1.2847130335383261e-05
shock_other_(specify),0.0,0.0
tiene_datos_laborales,0.0,0.0
shock_withdraw_of_assistance_(g,0.0,0.0
shock_domestic_violence,0.0,0.0
tiene_empleo,0.0,0.0
ingreso_mensual,0.0,0.0
s4aq4,-0.0001364892780144067,0.0004312707587208401
shock_loss_of_land,-0.00020659268225216022,0.0005134182913092946
