ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1150.0,1.0,15.0,5.0,1.0,3.0,3.0,3.0,840.0,0.0,0.0,0.0,,
2005,1160.0,1.0,54.0,2.0,1.0,4.0,1.0,0.0,3333.3333333333335,2.0,0.0,6000.0,2.0,1.0
2005,1160.0,2.0,56.0,2.0,1.0,6.0,1.0,0.0,3333.3333333333335,2.0,0.0,4000.0,2.0,1.0
2005,1160.0,2.0,16.0,5.0,1.0,3.0,3.0,3.0,3333.3333333333335,0.0,0.0,0.0,,
2005,1168.0,1.0,31.0,5.0,1.0,4.0,1.0,0.0,1970.0,3.0,1.0,1120.0,2.0,9.0
2005,1664.0,1.0,42.0,1.0,4.0,2.0,1.0,0.0,3000.0,1.0,0.0,6000.0,2.0,6.0
2005,1664.0,2.0,33.0,1.0,4.0,2.0,3.0,4.0,3000.0,0.0,0.0,0.0,,
2005,2245.0,1.0,25.0,1.0,4.0,3.0,1.0,0.0,126.66666666666667,2.0,0.0,300.0,2.0,1.0
2005,2245.0,2.0,21.0,1.0,4.0,3.0,3.0,4.0,126.66666666666667,0.0,0.0,0.0,,
2005,2245.0,2.0,,5.0,4.0,7.0,4.0,5.0,126.66666666666667,0.0,0.0,0.0,,
2005,1906.0,1.0,43.0,2.0,1.0,6.0,1.0,0.0,960.0,3.0,1.0,1700.0,1.0,
2005,1906.0,2.0,45.0,2.0,1.0,4.0,1.0,0.0,960.0,3.0,1.0,1200.0,1.0,
2005,1906.0,2.0,84.0,4.0,1.0,7.0,3.0,1.0,960.0,0.0,0.0,0.0,,
2005,1906.0,2.0,15.0,5.0,1.0,3.0,3.0,3.0,960.0,0.0,0.0,0.0,,
2005,1906.0,1.0,12.0,5.0,1.0,1.0,3.0,3.0,960.0,0.0,0.0,0.0,,
2005,1312.0,2.0,29.0,5.0,1.0,4.0,1.0,0.0,450.0,3.0,1.0,900.0,2.0,12.0
2005,1312.0,1.0,8.0,5.0,1.0,1.0,4.0,3.0,450.0,0.0,0.0,0.0,,
2005,1078.0,1.0,36.0,2.0,1.0,2.0,1.0,0.0,1400.0,3.0,1.0,1200.0,2.0,2.0
2005,1058.0,1.0,55.0,2.0,2.0,4.0,1.0,0.0,840.0,1.0,0.0,1300.0,2.0,4.0
2005,1058.0,2.0,54.0,2.0,2.0,4.0,1.0,0.0,840.0,3.0,2.0,500.0,2.0,8.0
2005,1058.0,2.0,27.0,5.0,1.0,5.0,1.0,0.0,840.0,3.0,1.0,700.0,2.0,
2005,1058.0,2.0,27.0,5.0,1.0,5.0,1.0,0.0,840.0,3.0,1.0,900.0,1.0,1.0
2005,1058.0,2.0,19.0,5.0,2.0,5.0,3.0,3.0,840.0,0.0,0.0,0.0,,
2005,1107.0,1.0,56.0,2.0,2.0,6.0,1.0,0.0,1625.0,3.0,2.0,6500.0,2.0,12.0
2005,1107.0,2.0,53.0,2.0,2.0,6.0,3.0,4.0,1625.0,0.0,0.0,0.0,,
2005,1107.0,1.0,21.0,5.0,2.0,5.0,3.0,3.0,1625.0,0.0,0.0,0.0,,
2005,1107.0,1.0,18.0,5.0,2.0,5.0,3.0,3.0,1625.0,0.0,0.0,0.0,,
2005,1445.0,2.0,85.0,4.0,2.0,5.0,3.0,1.0,1900.0,0.0,0.0,0.0,,
2005,1352.0,2.0,82.0,4.0,1.0,2.0,3.0,1.0,600.0,0.0,0.0,0.0,,
2005,1155.0,2.0,66.0,4.0,2.0,6.0,1.0,0.0,987.25,2.0,0.0,150.0,2.0,1.0
2005,1155.0,1.0,40.0,5.0,1.0,6.0,1.0,0.0,987.25,3.0,1.0,900.0,2.0,9.0
2005,1155.0,2.0,36.0,5.0,12.0,6.0,1.0,0.0,987.25,3.0,1.0,1200.0,2.0,
2005,1155.0,2.0,33.0,5.0,12.0,6.0,1.0,0.0,987.25,3.0,1.0,0.0,2.0,
2005,1540.0,1.0,56.0,5.0,1.0,6.0,1.0,0.0,5750.0,3.0,1.0,3250.0,2.0,9.0
2005,1276.0,2.0,56.0,3.0,1.0,6.0,1.0,0.0,750.0,2.0,0.0,1500.0,2.0,2.0
2005,1276.0,2.0,16.0,5.0,1.0,3.0,3.0,3.0,750.0,0.0,0.0,0.0,,
2005,943.0,1.0,56.0,2.0,1.0,2.0,1.0,0.0,166.66666666666666,3.0,1.0,1000.0,2.0,3.0
2005,943.0,2.0,49.0,2.0,1.0,2.0,3.0,4.0,166.66666666666666,0.0,0.0,0.0,,
2005,943.0,2.0,25.0,5.0,4.0,3.0,2.0,0.0,166.66666666666666,0.0,0.0,0.0,,
2005,943.0,2.0,22.0,5.0,4.0,4.0,2.0,0.0,166.66666666666666,0.0,0.0,0.0,,
2005,943.0,2.0,17.0,5.0,1.0,4.0,3.0,7.0,166.66666666666666,0.0,0.0,0.0,,
2005,943.0,2.0,14.0,5.0,1.0,3.0,3.0,3.0,166.66666666666666,0.0,0.0,0.0,,
2005,1338.0,1.0,35.0,1.0,1.0,6.0,1.0,0.0,1333.3333333333333,3.0,1.0,2000.0,1.0,11.0
2005,1338.0,2.0,35.0,1.0,2.0,6.0,1.0,0.0,1333.3333333333333,3.0,2.0,2000.0,2.0,9.0
2005,1338.0,1.0,4.0,5.0,2.0,7.0,4.0,5.0,1333.3333333333333,0.0,0.0,0.0,,
